1 表示建立模型正确，0 表示建立模型错误，\ 表示无需再次测试,,,,,,,,,,,,,,,,,,,,,
连续优化,GPT4,Other,GPT4-rethinking,Other,GPT4,Other,GPT4-rethinking,Other,ChatGPT,Other,ChatGPT-rethinking,Other,One-shot,Few-shot,ChatGPT,Other,ChatGPT-rethinking,Other,,One-shot,Few-shot
无约束优化,,,,,,,,,,,,,,,,,,,,,
1,1,(将二次问题识别为线性问题),\,,0,目标函数设置错误,1,scipy.optimize,1,(将二次问题识别为线性问题),\,,,,0,调用了线性规划库,0,scipy.optimize,,,
2,1,,\,,1,,\,scipy.optimize,0,目标函数设置错误,1,,0,0,1,,\,scipy.optimize,,,
3,1,,\,,1,,\,scipy.optimize,1,,\,,,,1,,\,scipy.optimize,,,
4,1,,\,,1,,\,scipy.optimize,0,额外添加了约束,0,无法检查出自己的错误,1,1,\,,\,,,,
5,1,,\,,0,计算结果错误,0,scipy.optimize,1,,\,,,,1,,\,scipy.optimize,,,
线性规划,,,,,,,,,,,,,,,,,,,,,
1,1,,\,,1,,\,pulp,0,约束设置错误,0,无法检查出自己的错误,1,1,\,,\,,,,
2,1,,\,,1,,\,scipy.optimize,1,,\,,,,1,,\,pulp,,,
3,1,,\,,1,,\,pulp,1,,\,,,,0,程序语法错误,0,pulp,,,
4,0,约束设置错误,1,,1,,\,pulp,1,,\,,,,0,约束设置错误,1,pulp,,,
5,1,,\,,1,,\,scipy.optimize,1,,\,,,,1,,\,pulp,,,
二次优化,,,,,,,,,,,,,,,,,,,,,
1,1,,\,,1,,\,scipy.optimize,0,目标函数设置错误,1,,0,0,0,程序语法错误 （TypeError: Non-constant expressions cannot be multiplied）,0,pulp,,,
2,1,,\,,1,,\,scipy.optimize,0,目标函数化简时计算错误,0,意识到错误，但新目标函数仍设置错误,0,1,\,,\,,,,
3,1,,\,,1,,\,scipy.optimize,0,目标函数设置错误,0,目标函数正确，问题类型错误,0,1,\,,\,,,,
4,1,,\,,0,非凸问题,0,cvxpy,0,目标函数设置错误,0,目标函数仍设置错误,1,1,\,,\,,,,
5,1,,\,,0,非凸问题,0,cvxpy,0,目标函数化简时计算错误,1,,1,1,0,约束设置错误（增加了约束）,0,,,,
离散优化,,,,,,,,,,,,,,,,,,,,,
整数规划,,,,,,,,,,,,,,,,,,,,,
1,1,(将整数规划识别为线性规划),\,,0,变量为连续,0,pulp,1,(将整数规划识别为线性规划),\,,,,1,变量为整型,\,pulp,,,
2,1,(将整数规划识别为线性规划),\,,0,变量为连续,0,scipy.optimize,1,,\,,,,1,,\,pulp,,,
3,1,,\,,1,,\,pulp,1,(将整数规划识别为线性规划),\,,,,1,变量为整型,\,pulp,,,
4,1,(将整数规划识别为线性规划),\,,0,变量为连续,1,pulp,1,(将整数规划识别为线性规划),\,,,,1,变量为整型,\,pulp,,,
5,1,(将整数规划识别为线性规划),\,,1,变量为整型,\,pulp,1,,\,,,,1,,\,pulp,,,
TSP类型,,,,,,,,,,,,,,,,,,,,,
1,1,,\,,1,,\,ortools,0,缺失部分隐式约束,0,仍缺失部分隐式约束,0,0,\,,\,,,,
2,1,,\,,1,,\,ortools,0,缺失部分隐式约束,0,仍缺失部分隐式约束，并把目标函数修改错误,0,0,\,,\,,,,
3,1,,\,,1,,\,ortools,0,缺失部分隐式约束,0,消除自回路约束设置错误,0,0,\,,\,,,,
4,1,,\,,0,缺少约束,0,ortools,0,约束设置错误,0,约束设置仍错误,0,0,\,,\,,,,
5,0,约束设置错误 (下标范围),0,约束设置错误 (下标范围),\,,\,,0,约束设置错误，并缺失部分隐式约束,0,仍缺失部分隐式约束，并把目标函数修改错误,0,0,\,,\,,,,
背包问题类型,,,,,,,,,,,,,,,,,,,,,
1,1,,\,,1,,\,pulp,1,,\,,,,1,,\,ortools,,,
2,1,模型类型正确,\,,1,,\,pulp,1,,\,,,,1,,\,ortools,,,
3,1,,\,,1,,\,pulp,1,,\,,,,1,,\,pulp,,,
4,1,,\,,1,,\,pulp,0,决策变量设置错误,1,(将MIP模型识别为IP模型),1,0,1,,\,pulp,,,
5,1,,\,,1,,\,pulp,1,(多添加了一个恒满足的约束),\,,,,1,,\,ortools,,,
VRP类型,,,,,,,,,,,,,,,,,,,,,
1,1,,\,,0,逻辑错误,1,ortools,0,约束设置错误 (第一个就错),0,没有检查出错误，仍给出原模型,0,0,\,,\,,,,
2,1,,\,,1,,\,ortools,0,目标函数设置错误,0,目标函数修改正确，但节点访问约束修改错误,0,0,\,,\,,,,
3,0,约束设置错误 (消除子回路),0,约束设置错误，并新增错误约束,\,,\,,0,部分约束错误，缺失部分约束 (车辆流约束),0,增加了车辆流约束，但错误约束并未修正,0,0,\,,\,,,,
4,0,部分约束错误，缺失部分约束 (车辆流、子回路约束),0,仍缺失部分约束，且错误约束未修正,\,,\,,0,变量设置不合理，导致目标函数设置错误,0,变量设置不合理，导致目标函数设置错误,0,0,\,,\,,,,
5,0,约束设置错误 (容量约束),0,约束设置错误 (容量约束),\,,\,,0,变量设置不合理，导致目标函数设置错误,0,变量设置不合理，导致目标函数设置错误,0,0,\,,\,,,,
